cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI029	09-01-14	100	83.14049672	3.5772	25.324	23.506	NAN	0.017446809	0	0	13.76835304
SI029	09-01-14	97	94.17799484	1.5708	21.999	7.6	NAN	0.013191489	0	0	16.0765775
SI027	08-11-12	200	NAN	NAN	NAN	NAN	0	0	0	4.084376609	20.17628588
SI030	09-02-11	20	179.8730024	2.5377	27.043	29.859	NAN	0.062236287	0	5.97333608	11.36375799
SI027	08-11-12	135	NAN	NAN	NAN	NAN	0.26957198	0	0	4.583079191	10.3054753
SI029	09-01-14	150	3.055883672	4.6816	28.794	8.261	NAN	0.417446809	0	19.75072652	2.302018642
SI029	09-01-14	85	145.7945085	1.9756	21.565	15.151	NAN	0.068510638	0	0	13.52708471
SI029	09-01-14	40	159.6720156	2.4673	35.098	33.608	NAN	0.047234043	0	0	12.55222168
SI027	08-11-12	60	NAN	NAN	NAN	NAN	2.519125526	0	0	12.24546595	7.566671311
SI046	10-06-01	200	0	6.494	129.06	0	8.656098594	0	20.01885524	1428.230795	11.87889506
SI027	08-11-12	120	NAN	NAN	NAN	NAN	0	0	0	6.995409836	11.47961589
SI023	08-07-15	100	42.84652764	2.742	56.135	24.372	NAN	NAN	0	9.319987025	16.28769038
SI030	09-02-11	40	155.431498	1.8755	19.29	19.155	NAN	0.055907173	0	19.96257254	13.80705354
SI027	08-11-12	75	NAN	NAN	NAN	NAN	0.583530157	0	0	19.90408946	16.05974346
SI029	09-01-14	60	185.1752299	2.5894	28.433	30.155	NAN	0.027021277	0	0	12.20015886
SI033	09-05-01	90	NAN	3.113	27.169	28.645	0	0.186956522	0	3.231158196	17.285095
