cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI047	10-07-17	135	0	4.647	94.381	0	0.282150494	0.192528736	2.225266538	209.7853919	10.93131293
SI028	08-12-10	60	129.9907377	NAN	NAN	NAN	NAN	0.046899841	0	11.25876248	15.28343214
SI036	09-08-01	185	0	5.5011	52.85	0	7.822962464	0	6.942271679	787.6101387	2.533462187
SI046	10-06-01	20	259.3209116	1.381	21.781	10.939	0.31422506	0.411877395	0	84.1220151	23.49132886
SI038	09-10-01	185	0	5.0886	103.204	0	10.08277257	0.016420361	3.770025485	246.7159109	3.855028858
SI046	10-06-01	110	13.21656406	4.159	78.237	19.779	0	0.030651341	0	69.07744301	25.67027081
SI036	09-08-01	150	3.625486685	4.3505	77.058	7.862	0.743527331	0	0	12.82412051	9.128064703
SI030	09-02-11	135	51.48183737	4.2086	23.486	10.226	NAN	0.672995781	0	28.37332547	1.225637495
SI033	09-05-01	165	NAN	5.06	53.447	0.165	0.667390785	0.025	0	467.4222755	0
SI046	10-06-01	185	0	5.526	110.67	0	7.469881509	0	19.24849109	1091.745645	11.1163527
SI035	09-07-01	150	0	4.8543	61.44	0	7.323228653	0	4.323873132	NAN	NAN
SI036	09-08-01	110	30.50702186	2.8622	39.781	18.747	0	0	0	8.974457637	18.1483037
SI031	09-03-11	85	147.5054202	2.7621	35.963	29.995	0	0.203909091	NAN	0	15.22678637
SI030	09-02-11	200	0	5.2657	41.917	0	NAN	0.297468354	5.972432241	542.9949728	0
SI022	08-06-11	20	211.8220428	1.024	13.193	8.3285	6.84334	NAN	0	57.19844911	12.21451485
SI036	09-08-01	10	166.2003423	1.562	24.1	9.42	3.712437182	0.306818182	0	49.08320166	13.33724442
SI046	10-06-01	10	324.8944869	0.836	16.102	5.143	0	0.327586207	0	928.4872278	3.697242671
SI023	08-07-15	60	142.4739211	2.117	42.116	25.381	0	NAN	0	29.47717375	12.51653323
SI035	09-07-01	10	275.7705247	0.4796	8.481	5.016	3.51507376	0	0	NAN	NAN
SI021	08-05-14	110	86.06668178	2.489	58.096	17.82	NAN	NAN	0	25.53134866	12.9141173
