date	depth	abundance	group
08-08-11	185	0.180894733	F9P41000
08-10-15	185	0.048784454	F9P41000
08-12-10	185	0.070397747	F9P41000
09-10-01	185	0.038178868	F9P41000
08-05-14	200	0.051542596	F9P41000
08-07-15	200	0.15264379	F9P41000
08-08-11	200	0.154344806	F9P41000
08-11-12	200	0.075987842	F9P41000
09-10-01	200	0.010665529	F9P41000
08-08-11	135	0.010520779	F9P41000
09-08-01	165	0.010493179	F9P41000
10-06-01	135	0.010250103	F9P41000
09-10-01	120	0.010213461	F9P41000
08-09-10	10	0.013646288	OPU1H2
08-10-15	10	0.025220681	OPU1H2
08-12-10	10	0.016253555	OPU1H2
09-01-14	10	0.017289073	OPU1H2
09-03-11	10	0.017203808	OPU1H2
09-04-08	10	0.048811101	OPU1H2
08-05-14	20	0.015491867	OPU1H2
08-07-15	20	0.022810219	OPU1H2
08-09-10	20	0.079908676	OPU1H2
08-11-12	20	0.017736786	OPU1H2
08-12-10	20	0.018170255	OPU1H2
09-03-11	20	0.041055718	OPU1H2
09-04-08	20	0.022159846	OPU1H2
09-10-01	20	0.011230907	OPU1H2
08-06-11	40	0.018563208	OPU1H2
08-09-10	40	0.056014564	OPU1H2
08-12-10	40	0.020870291	OPU1H2
09-03-11	40	0.088002347	OPU1H2
09-04-08	40	0.076952674	OPU1H2
09-10-01	40	0.020628481	OPU1H2
08-05-14	60	0.020010005	OPU1H2
08-09-10	60	0.055139819	OPU1H2
08-12-10	60	0.048473097	OPU1H2
09-02-11	60	0.018806419	OPU1H2
09-03-11	60	0.046854083	OPU1H2
09-04-08	60	0.129842026	OPU1H2
09-10-01	60	0.03430826	OPU1H2
08-05-14	75	0.020659734	OPU1H2
08-06-11	75	0.014797277	OPU1H2
08-08-11	75	0.022040996	OPU1H2
08-09-10	75	0.12328936	OPU1H2
08-12-10	75	0.016194332	OPU1H2
09-04-08	75	0.116867939	OPU1H2
08-05-14	85	0.037195462	OPU1H2
08-07-15	85	0.014552863	OPU1H2
08-12-10	85	0.09839937	OPU1H2
09-01-14	85	0.014556747	OPU1H2
09-02-11	85	0.016229814	OPU1H2
09-03-11	85	0.06590096	OPU1H2
09-04-08	85	0.152543666	OPU1H2
10-07-17	85	0.017253278	OPU1H2
08-05-14	90	0.051807506	OPU1H2
08-06-11	90	0.029226947	OPU1H2
08-07-15	90	0.014870994	OPU1H2
08-08-11	90	0.026497085	OPU1H2
08-10-15	90	0.012831205	OPU1H2
08-12-10	90	0.041450777	OPU1H2
09-02-11	90	0.034626039	OPU1H2
09-03-11	90	0.049964311	OPU1H2
09-04-08	90	0.057566841	OPU1H2
09-05-01	90	0.039676242	OPU1H2
09-08-01	90	0.038216561	OPU1H2
09-10-01	90	0.027849335	OPU1H2
08-05-14	97	0.059093894	OPU1H2
08-07-15	97	0.039988004	OPU1H2
08-11-12	97	0.021223912	OPU1H2
09-01-14	97	0.015479077	OPU1H2
09-03-11	97	0.011860286	OPU1H2
09-04-08	97	0.037163669	OPU1H2
09-05-01	97	0.019563729	OPU1H2
09-07-01	97	0.025962225	OPU1H2
09-08-01	97	0.054595086	OPU1H2
09-10-01	97	0.040453074	OPU1H2
10-07-17	97	0.027314941	OPU1H2
08-05-14	100	0.048796357	OPU1H2
08-10-15	100	0.112240856	OPU1H2
08-11-12	100	0.052011096	OPU1H2
09-02-11	100	0.026598103	OPU1H2
09-04-08	100	0.043018154	OPU1H2
09-05-01	100	0.022844959	OPU1H2
09-07-01	100	0.036551934	OPU1H2
09-08-01	100	0.015969339	OPU1H2
09-10-01	100	0.030330604	OPU1H2
10-07-17	100	0.036049027	OPU1H2
08-05-14	110	0.073066033	OPU1H2
08-08-11	110	0.013550136	OPU1H2
08-10-15	110	0.129533679	OPU1H2
08-11-12	110	0.059808612	OPU1H2
08-12-10	110	0.025642669	OPU1H2
09-01-14	110	0.032492148	OPU1H2
09-05-01	110	0.060334425	OPU1H2
09-06-01	110	0.023616469	OPU1H2
09-08-01	110	0.075407673	OPU1H2
09-10-01	110	0.045803275	OPU1H2
08-05-14	120	0.01635858	OPU1H2
08-06-11	120	0.023417376	OPU1H2
08-08-11	120	0.068844661	OPU1H2
08-10-15	120	0.112778694	OPU1H2
08-11-12	120	0.03766301	OPU1H2
09-01-14	120	0.011425307	OPU1H2
09-05-01	120	0.037058998	OPU1H2
09-06-01	120	0.015025167	OPU1H2
09-08-01	120	0.050748541	OPU1H2
09-10-01	120	0.112348075	OPU1H2
08-06-11	135	0.026737968	OPU1H2
08-07-15	135	0.101988781	OPU1H2
08-08-11	135	0.042083114	OPU1H2
08-10-15	135	0.11055832	OPU1H2
08-11-12	135	0.183622829	OPU1H2
09-03-11	135	0.059382423	OPU1H2
09-05-01	135	0.014885383	OPU1H2
09-08-01	135	0.020610058	OPU1H2
09-10-01	135	0.042611215	OPU1H2
08-05-14	150	0.011077877	OPU1H2
08-06-11	150	0.10384216	OPU1H2
08-07-15	150	0.036605454	OPU1H2
08-08-11	150	0.044637164	OPU1H2
08-10-15	150	0.221682677	OPU1H2
08-11-12	150	0.178117048	OPU1H2
08-12-10	150	0.011594203	OPU1H2
09-01-14	150	0.0342382	OPU1H2
09-05-01	150	0.039317449	OPU1H2
08-05-14	165	0.04026035	OPU1H2
08-07-15	165	0.097513408	OPU1H2
08-08-11	165	0.061694543	OPU1H2
08-10-15	165	0.101125868	OPU1H2
08-11-12	165	0.240105978	OPU1H2
